"Enable", "Enable"
"Installment Options", "Installment Options"
"Soulmkt Installment", "Soulmkt Installment"
"Maximum Number of Installments", "Maximum Number of Installments"
"Minimum Installment", "Minimum Installment"
"Discount billet", "Discount billet"
"Enable CJM", "Enable CJM"
"Only the number of percentage (%) if there", "Only the number of percentage (%) if there"
"In up to %sx","In up to %sx"
"on billet", "on billet"
"without interest", "without interest"
"or", "or"
"In up to", "In up to"
